# Orange curve from Fig 3. of https://arxiv.org/abs/2106.08979
# This result is from a direct search for GW from (sub)solar mass PBH merger in LVC O3a run
# data from https://github.com/gwastro/subsolar-o3a-search
# PBHmass 	 f_PBH
1.685203729895907498e+00 2.871667599551996648e-03
1.696690713445877963e+00 2.854540366891403572e-03
1.708177696995848205e+00 2.837447081005748002e-03
1.719664680545818669e+00 2.820389269497242633e-03
1.731151664095788911e+00 2.809281526069328568e-03
1.742638647645759375e+00 2.806927293994763723e-03
1.754125631195729618e+00 2.804514350168528861e-03
1.765612614745700082e+00 2.802043574229768925e-03
1.777099598295670546e+00 2.799515832878575819e-03
1.788586581845640788e+00 2.796931980129397245e-03
1.800073565395611253e+00 2.794292857557733895e-03
1.811560548945581495e+00 2.791599294540331438e-03
1.823047532495551959e+00 2.788852108489104503e-03
1.834534516045522201e+00 2.786052105078981340e-03
1.846021499595492443e+00 2.783200078469898978e-03
1.857508483145462685e+00 2.780296811523104168e-03
1.868995466695433150e+00 2.777343076011981257e-03
1.880482450245403392e+00 2.774339632827564454e-03
1.891969433795373856e+00 2.771287232178911396e-03
1.903456417345344098e+00 2.766329722946559051e-03
1.914943400895314563e+00 2.761104990327272780e-03
1.926430384445284805e+00 2.755816728531495022e-03
1.937917367995255269e+00 2.750465751816575256e-03
1.949404351545225511e+00 2.745052866356240216e-03
1.960891335095195975e+00 2.739578870424847976e-03
1.972378318645166440e+00 2.734044554576960454e-03
1.983865302195136682e+00 2.728450701822345351e-03
1.995352285745107146e+00 2.722798087796548042e-03
2.006839269295077610e+00 2.717087480927133595e-03
2.018326252845047630e+00 2.711319642595700404e-03
2.029813236395018095e+00 2.705495327295787730e-03
2.041300219944988115e+00 2.699615282786765186e-03
2.052787203494958579e+00 2.693680250243800887e-03
2.064274187044929043e+00 2.687690964404010601e-03
2.075761170594899507e+00 2.681648153708869001e-03
2.087248154144869527e+00 2.675552540442973672e-03
2.098735137694839992e+00 2.669404840869244247e-03
2.110222121244810456e+00 2.663205765360639101e-03
2.121709104794780920e+00 2.656956018528461999e-03
2.133196088344750940e+00 2.650656299347342853e-03
2.144683071894721405e+00 2.644307301276953293e-03
2.156170055444691869e+00 2.637909712380537720e-03
2.167657038994662333e+00 2.631464215440317955e-03
2.179144022544632353e+00 2.624971488069849108e-03
2.190631006094602817e+00 2.618432202823372645e-03
2.202117989644573282e+00 2.611847027302242972e-03
2.213604973194543302e+00 2.605216624258475250e-03
2.225091956744513766e+00 2.598541651695486857e-03
2.236578940294484230e+00 2.591822762966066764e-03
2.248065923844454694e+00 2.585060606867640044e-03
2.259552907394424714e+00 2.578255827734881721e-03
2.271039890944395179e+00 2.571409065529725504e-03
2.282526874494365643e+00 2.564520955928807286e-03
2.294013858044336107e+00 2.557592130408409357e-03
2.305500841594306127e+00 2.550623216326942597e-03
2.316987825144276592e+00 2.543614837005005267e-03
2.328474808694247056e+00 2.536567611803069566e-03
2.339961792244217520e+00 2.529482156196845820e-03
2.351448775794187540e+00 2.522359081850342969e-03
2.362935759344158004e+00 2.515198996686694288e-03
2.374422742894128469e+00 2.508002504956759627e-03
2.385909726444098933e+00 2.500770207305566192e-03
2.397396709994069397e+00 2.493502700836619079e-03
2.408883693544039417e+00 2.486200579174097178e-03
2.420370677094009881e+00 2.478864432523008622e-03
2.431857660643979901e+00 2.471494847727309652e-03
