#PROJECTED CONSTRAINTS
#Green curve in Fig. 5 of https://arxiv.org/abs/1812.01427
#Columns: PBH mass [Msun], f_PBH
7.637511596250564e-16 0.9082976495414019
7.946968893773287e-16 0.7866466344676245
8.523295807324583e-16 0.6233606978240145
9.258886057520331e-16 0.4537635971199412
9.654119038075349e-16 0.3876580991316212
1.0090060272523461e-15 0.3081853052724675
1.1387409845778796e-15 0.23024369174628245
1.2433324117518488e-15 0.19396964318840004
1.3828938241930292e-15 0.1460632017664972
1.560769906254087e-15 0.11400789615876632
1.9740029376569518e-15 0.10065373972932114
2.3668615959479506e-15 0.10010381128595496
3.225812763918742e-15 0.11404976680804225
4.04734747629932e-15 0.13100215117681047
5.078106757196497e-15 0.1527961308672862
6.5262828442881614e-15 0.1850172577849574
8.387450244776667e-15 0.2257175424321575
1.0523526337450525e-14 0.2658332214962123
1.3063388987704786e-14 0.31118735295840305
1.7428042670416435e-14 0.37695248174728796
2.4007761959140204e-14 0.4236203789200824
2.930250120944e-14 0.39845311586434135
3.679784835596935e-14 0.3883745551363389
4.857115290639275e-14 0.45456407382937986
5.886270951239627e-14 0.47870363743285804
7.769556623403461e-14 0.5241154862172467
1.0702846525580325e-13 0.5984203296064067
1.2832886884549978e-13 0.6324911222045924
1.6758825708294874e-13 0.7017705049079608
2.308589128040334e-13 0.7891926394253768
2.7680358745905677e-13 0.8405200926175985
3.6148554252761695e-13 0.9356040947040333
